Date : 2025-11-07 10:50:11
Directory : c:\Users\ZETTA\Desktop\aqarat_flutter_project2
Total : 99 files,  14863 codes, 1118 comments, 1134 blanks, all 17115 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |         31 |     12,244 |        740 |        648 |     13,632 |
| JSON             |          8 |        643 |          0 |         80 |        723 |
| C++              |         16 |        554 |        131 |        189 |        874 |
| XML              |         12 |        472 |         53 |         12 |        537 |
| CMake            |          8 |        465 |          0 |         92 |        557 |
| Python           |         10 |        343 |        144 |         57 |        544 |
| Swift            |          6 |         59 |          7 |         21 |         87 |
| YAML             |          2 |         35 |         28 |         18 |         81 |
| HTML             |          1 |         19 |         15 |          5 |         39 |
| Markdown         |          2 |         13 |          0 |          9 |         22 |
| Properties       |          2 |          8 |          0 |          2 |         10 |
| pip requirements |          1 |          8 |          0 |          1 |          9 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         99 |     14,863 |      1,118 |      1,134 |     17,115 |
| . (Files)                                                                                                    |          3 |         45 |         28 |         25 |         98 |
| android                                                                                                      |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                                              |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                  |          7 |         66 |         51 |          9 |        126 |
| android\app\src                                                                                              |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                         |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                                                 |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                      |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                       |          1 |          5 |          0 |          1 |          6 |
| backend                                                                                                      |         11 |        351 |        144 |         58 |        553 |
| backend\app                                                                                                  |         11 |        351 |        144 |         58 |        553 |
| backend\app (Files)                                                                                          |          3 |         28 |          0 |         11 |         39 |
| backend\app\db                                                                                               |          1 |          9 |          0 |          2 |         11 |
| backend\app\routes                                                                                           |          7 |        314 |        144 |         45 |        503 |
| images                                                                                                       |          2 |          2 |          0 |          0 |          2 |
| ios                                                                                                          |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                          |         34 |     12,625 |        730 |        717 |     14,072 |
| lib (Files)                                                                                                  |         17 |     10,243 |        539 |        395 |     11,177 |
| lib\backend                                                                                                  |          7 |        542 |         17 |         77 |        636 |
| lib\generated                                                                                                |          6 |      1,445 |        174 |        169 |      1,788 |
| lib\generated (Files)                                                                                        |          1 |        731 |        124 |        131 |        986 |
| lib\generated\intl                                                                                           |          5 |        714 |         50 |         38 |        802 |
| lib\l10n                                                                                                     |          4 |        395 |          0 |         76 |        471 |
| linux                                                                                                        |          9 |        335 |         37 |         92 |        464 |
